id;first_name;last_name;email;telephone
1;Athena;Hyatt;Paul.Zulauf@yahoo.com;952-457-95
2;Emmett;Schumm;Burdette.Rolfson@yahoo.com;(731) 803-
3;Genesis;McDermott;Maudie_Dooley@yahoo.com;1-746-891-
4;Misael;Rogahn;Percy95@gmail.com;1-551-330-
5;Lindsey;Stark;Ariel.Schiller@hotmail.com;464-301-65
6;Milo;Schimmel;Omari.Maggio96@hotmail.com;1-406-484-
7;Watson;Mertz;Casandra_Mitchell@hotmail.com;813.584.38
8;Verdie;Graham;Meredith_Bashirian@gmail.com;1-452-394-
9;Jermey;Emard;Lavinia_Stanton@hotmail.com;(260) 461-
10;Karelle;Greenholt;Deja65@yahoo.com;609-377-95
